name	codepoint_hex	glyph	printf_escape
nf-cod-whitespace	eb7d		\ueb7d
nf-cod-window	eb7f		\ueb7f
nf-custom-ada	e6b5		\ue6b5
nf-custom-asm	e6ab		\ue6ab
nf-custom-astro	e6b3		\ue6b3
nf-custom-bazel	e63a		\ue63a
nf-custom-c	e61e		\ue61e
nf-custom-chuck	e6b6		\ue6b6
nf-custom-cpp	e61d		\ue61d
nf-custom-crystal	e62f		\ue62f
nf-custom-css	e6b8		\ue6b8
nf-custom-default	e612		\ue612
nf-custom-electron	e62e		\ue62e
nf-custom-elixir	e62d		\ue62d
nf-custom-elm	e62c		\ue62c
nf-custom-emacs	e632		\ue632
nf-custom-fennel	e6af		\ue6af
nf-custom-firebase	e657		\ue657
nf-custom-folder	e5ff		\ue5ff
nf-custom-go	e626		\ue626
nf-custom-home	e617		\ue617
nf-custom-kotlin	e634		\ue634
nf-custom-msdos	e629		\ue629
nf-custom-neovim	e6ae		\ue6ae
nf-custom-orgmode	e633		\ue633
nf-custom-prettier	e6b4		\ue6b4
nf-custom-puppet	e631		\ue631
nf-custom-purescript	e630		\ue630
nf-custom-ruby	e605		\ue605
nf-custom-scheme	e6b1		\ue6b1
nf-custom-toml	e6b2		\ue6b2
nf-custom-vim	e62b		\ue62b
nf-custom-vitruvian	e6b7		\ue6b7
nf-custom-windows	e62a		\ue62a
nf-dev-aarch64	e700		\ue700
nf-dev-adonisjs	e701		\ue701
nf-dev-aftereffects	e705		\ue705
nf-dev-akka	e708		\ue708
nf-dev-algolia	e70a		\ue70a
nf-dev-alpinejs	e713		\ue713
nf-dev-amazonwebservices	e7ad		\ue7ad
nf-dev-anaconda	e715		\ue715
nf-dev-android	e70e		\ue70e
nf-dev-androidstudio	e71a		\ue71a
nf-dev-angular	e753		\ue753
nf-dev-angularjs	e71c		\ue71c
nf-dev-angularmaterial	e720		\ue720
nf-dev-ansible	e723		\ue723
nf-dev-antdesign	e72a		\ue72a
nf-dev-apache	e72b		\ue72b
nf-dev-apacheairflow	e72c		\ue72c
nf-dev-apachekafka	e72e		\ue72e
nf-dev-apachespark	e72f		\ue72f
nf-dev-apl	e730		\ue730
nf-dev-appcelerator	e7ab		\ue7ab
nf-dev-apple	e711		\ue711
nf-dev-appwrite	e731		\ue731
nf-dev-archlinux	e732		\ue732
nf-dev-arduino	e733		\ue733
nf-dev-argocd	e734		\ue734
nf-dev-astro	e735		\ue735
nf-dev-atom	e764		\ue764
nf-dev-awk	e741		\ue741
nf-dev-aws	e7ad		\ue7ad
nf-dev-axios	e74f		\ue74f
nf-dev-azure	e754		\ue754
nf-dev-azuredevops	e756		\ue756
nf-dev-azuresqldatabase	e75b		\ue75b
nf-dev-babel	e75d		\ue75d
nf-dev-backbone	e752		\ue752
nf-dev-backbonejs	e752		\ue752
nf-dev-ballerina	e75e		\ue75e
nf-dev-bamboo	e75f		\ue75f
nf-dev-bash	e760		\ue760
nf-dev-beats	e761		\ue761
nf-dev-behance	e762		\ue762
nf-dev-bitbucket	e703		\ue703
nf-dev-blazor	e765		\ue765
nf-dev-blender	e766		\ue766
nf-dev-bootstrap	e747		\ue747
nf-dev-bower	e74d		\ue74d
nf-dev-browserstack	e76b		\ue76b
nf-dev-bulma	e76c		\ue76c
nf-dev-bun	e76f		\ue76f
nf-dev-c	e771		\ue771
nf-dev-cairo	e773		\ue773
nf-dev-cakephp	e77a		\ue77a
nf-dev-canva	e77c		\ue77c
nf-dev-capacitor	e785		\ue785
nf-dev-carbon	e788		\ue788
nf-dev-cassandra	e789		\ue789
nf-dev-centos	e78a		\ue78a
nf-dev-ceylon	e78b		\ue78b
nf-dev-chrome	e743		\ue743
nf-dev-circleci	e78c		\ue78c
nf-dev-clarity	e78d		\ue78d
nf-dev-clion	e78e		\ue78e
nf-dev-clojure	e768		\ue768
nf-dev-clojurescript	e790		\ue790
nf-dev-cloudflare	e792		\ue792
nf-dev-cloudflareworkers	e793		\ue793
nf-dev-cmake	e794		\ue794
nf-dev-codeac	e796		\ue796
nf-dev-codecov	e797		\ue797
nf-dev-codeigniter	e780		\ue780
nf-dev-codepen	e716		\ue716
nf-dev-coffeescript	e751		\ue751
nf-dev-composer	e783		\ue783
nf-dev-confluence	e799		\ue799
nf-dev-consul	e79a		\ue79a
nf-dev-contao	e79b		\ue79b
nf-dev-corejs	e79d		\ue79d
nf-dev-cosmosdb	e79f		\ue79f
nf-dev-couchbase	e7a0		\ue7a0
nf-dev-couchdb	e7a2		\ue7a2
nf-dev-couchdb	e7a2		\ue7a2
nf-dev-cplusplus	e7a3		\ue7a3
nf-dev-crystal	e7ac		\ue7ac
nf-dev-csharp	e7b2		\ue7b2
nf-dev-css3	e749		\ue749
nf-dev-cucumber	e7b7		\ue7b7
nf-dev-cypressio	e7b9		\ue7b9
nf-dev-d3js	e7bc		\ue7bc
nf-dev-dart	e798		\ue798
nf-dev-database	e706		\ue706
nf-dev-datagrip	e7bd		\ue7bd
nf-dev-dataspell	e7be		\ue7be
nf-dev-dbeaver	e7bf		\ue7bf
nf-dev-debian	e77d		\ue77d
nf-dev-denojs	e7c0		\ue7c0
nf-dev-devicon	e7c1		\ue7c1
nf-dev-digitalocean	e7ae		\ue7ae
nf-dev-discordjs	e7c2		\ue7c2
nf-dev-django	e71d		\ue71d
nf-dev-djangorest	e7c3		\ue7c3
nf-dev-dlang	e7af		\ue7af
nf-dev-docker	e7b0		\ue7b0
nf-dev-doctrine	e774		\ue774
nf-dev-dotnet	e77f		\ue77f
nf-dev-dotnetcore	e7c6		\ue7c6
nf-dev-dreamweaver	e79c		\ue79c
nf-dev-dropbox	e707		\ue707
nf-dev-dropwizard	e7c7		\ue7c7
nf-dev-drupal	e742		\ue742
nf-dev-dynamodb	e7c8		\ue7c8
nf-dev-eclipse	e79e		\ue79e
nf-dev-ecto	e7c9		\ue7c9
nf-dev-elasticsearch	e7ca		\ue7ca
nf-dev-electron	e7cb		\ue7cb
nf-dev-eleventy	e7cc		\ue7cc
nf-dev-elixir	e7cd		\ue7cd
nf-dev-elm	e7ce		\ue7ce
nf-dev-emacs	e7cf		\ue7cf
nf-dev-embeddedc	e7d0		\ue7d0
nf-dev-ember	e71b		\ue71b
nf-dev-envoy	e7d1		\ue7d1
nf-dev-erlang	e7b1		\ue7b1
nf-dev-eslint	e7d2		\ue7d2
nf-dev-express	e7d3		\ue7d3
nf-dev-facebook	e7d4		\ue7d4
nf-dev-fastapi	e7d5		\ue7d5
nf-dev-fastify	e7d6		\ue7d6
nf-dev-faunadb	e7d7		\ue7d7
nf-dev-feathersjs	e7d8		\ue7d8
nf-dev-fedora	e7d9		\ue7d9
nf-dev-figma	e7da		\ue7da
nf-dev-filezilla	e7db		\ue7db
nf-dev-firebase	e787		\ue787
nf-dev-firefox	e745		\ue745
nf-dev-flask	e7dc		\ue7dc
nf-dev-flutter	e7dd		\ue7dd
nf-dev-fortran	e7de		\ue7de
nf-dev-foundation	e7df		\ue7df
nf-dev-framermotion	e7e0		\ue7e0
nf-dev-framework7	e7e1		\ue7e1
nf-dev-fsharp	e7a7		\ue7a7
nf-dev-gatling	e7e2		\ue7e2
nf-dev-gatsby	e7e3		\ue7e3
nf-dev-gazebo	e7e4		\ue7e4
nf-dev-gcc	e7e5		\ue7e5
nf-dev-gentoo	e7e6		\ue7e6
nf-dev-ghost	e71f		\ue71f
nf-dev-gimp	e7e7		\ue7e7
nf-dev-git	e702		\ue702
nf-dev-gitbook	e7e8		\ue7e8
nf-dev-github	e709		\ue709
nf-dev-githubactions	e7e9		\ue7e9
nf-dev-githubcodespaces	e7ea		\ue7ea
nf-dev-gitlab	e7eb		\ue7eb
nf-dev-gitpod	e7ec		\ue7ec
nf-dev-gitter	e7ed		\ue7ed
nf-dev-gnu	e779		\ue779
nf-dev-go	e724		\ue724
nf-dev-godot	e7ee		\ue7ee
nf-dev-goland	e7ef		\ue7ef
nf-dev-google	e7f0		\ue7f0
nf-dev-googlecloud	e7f1		\ue7f1
nf-dev-gradle	e7f2		\ue7f2
nf-dev-grafana	e7f3		\ue7f3
nf-dev-grails	e7b3		\ue7b3
nf-dev-graphql	e7f4		\ue7f4
nf-dev-groovy	e775		\ue775
nf-dev-grpc	e7f5		\ue7f5
nf-dev-grunt	e74c		\ue74c
nf-dev-gulp	e763		\ue763
nf-dev-hadoop	e7f6		\ue7f6
nf-dev-handlebars	e7f7		\ue7f7
nf-dev-hardhat	e7f8		\ue7f8
nf-dev-harvester	e7f9		\ue7f9
nf-dev-haskell	e777		\ue777
nf-dev-haxe	e7fa		\ue7fa
nf-dev-helm	e7fb		\ue7fb
nf-dev-heroku	e77b		\ue77b
nf-dev-hibernate	e7fc		\ue7fc
nf-dev-homebrew	e7fd		\ue7fd
nf-dev-html5	e736		\ue736
nf-dev-hugo	e7fe		\ue7fe
nf-dev-ie	e744		\ue744
